  band1_sur0.67   band2_RAC0.86     NDVI      S_angle      band3_sur0.47 band2_sur(NOTUSE)   Land_type
    0.21280000    0.30818300    0.28675900    2.13238000    0.10290000    0.31920000   10.00000000
    0.20690000    0.29386500    0.27547200    2.13752000    0.09440000    0.30680000   10.00000000
    0.19780000    0.29076100    0.30338200    2.13272000    0.09970000    0.30210000   10.00000000
    0.19370000    0.27563600    0.27147500    2.13660000    0.09530000    0.28510000   10.00000000
    0.22550000    0.31758000    0.28018200    2.13237000    0.11060000    0.33080000   10.00000000
    0.21210000    0.29844600    0.27216800    2.13780000    0.09750000    0.31170000   10.00000000
    0.23130000    0.31707700    0.26896800    2.13112000    0.10860000    0.32970000   10.00000000
    0.21920000    0.30716300    0.28024400    2.13636000    0.10160000    0.31940000   10.00000000
    0.20120000    0.28402700    0.28558000    2.13219000    0.09730000    0.29540000   10.00000000
    0.22190000    0.30863700    0.27642200    2.13123000    0.10310000    0.32090000   10.00000000
    0.22920000    0.32011900    0.27794100    2.13647000    0.10570000    0.33280000   10.00000000
    0.22200000    0.30213400    0.26685400    2.13231000    0.10630000    0.31420000   10.00000000
    0.22220000    0.28457700    0.24375100    2.16246000    0.11650000    0.29630000   10.00000000
    0.19460000    0.27167600    0.29086900    2.15822000    0.10560000    0.28330000   10.00000000
    0.23830000    0.32893000    0.27182600    2.13271000    0.10430000    0.34210000   10.00000000
    0.23470000    0.33134100    0.28242300    2.13656000    0.10740000    0.34450000   10.00000000
    0.22210000    0.30878500    0.27683500    2.13242000    0.10850000    0.32120000   10.00000000
    0.20610000    0.27969400    0.27062400    2.16289000    0.10150000    0.29190000   10.00000000
    0.21720000    0.31494000    0.30942500    2.15867000    0.10710000    0.32900000   10.00000000
    0.24810000    0.34025500    0.26811700    2.13282000    0.10830000    0.35390000   10.00000000
    0.21620000    0.31794400    0.30458800    2.13677000    0.10580000    0.33070000   10.00000000
    0.20030000    0.28357400    0.28880200    2.13249000    0.10450000    0.29510000   10.00000000
    0.20690000    0.28504200    0.28715000    2.16438000    0.11600000    0.29800000   10.00000000
    0.22350000    0.32328200    0.30742500    2.15883000    0.11080000    0.33760000   10.00000000
    0.21270000    0.29465800    0.27555900    2.13316000    0.10090000    0.30660000   10.00000000
    0.19740000    0.28385500    0.29600100    2.12889000    0.09490000    0.29540000   10.00000000
    0.20980000    0.29675200    0.28670300    2.13275000    0.10220000    0.30890000   10.00000000
    0.22960000    0.32353700    0.29430800    2.15884000    0.11810000    0.33790000   10.00000000
    0.18900000    0.27202000    0.29611100    2.13327000    0.08760000    0.28310000   10.00000000
    0.19180000    0.27391100    0.29305400    2.12900000    0.09370000    0.28510000   10.00000000
    0.21400000    0.30081900    0.28279100    2.13284000    0.10280000    0.31310000   10.00000000
    0.23470000    0.33055300    0.29346200    2.15928000    0.12640000    0.34520000   10.00000000
    0.24070000    0.29552400    0.22374900    2.17611000    0.10930000    0.30840000   10.00000000
    0.19970000    0.26793600    0.27257200    2.17048000    0.09360000    0.28050000   10.00000000
    0.17890000    0.25620900    0.29494800    2.13336000    0.08450000    0.26670000   10.00000000
    0.20310000    0.28281100    0.28008200    2.12911000    0.09610000    0.29440000   10.00000000
    0.22330000    0.30634000    0.27117400    2.13455000    0.10860000    0.31870000   10.00000000
    0.25080000    0.35587200    0.29145100    2.16090000    0.12090000    0.37240000   10.00000000
    0.24510000    0.30180900    0.23076300    2.17656000    0.11080000    0.31680000   10.00000000
    0.22730000    0.30286000    0.27061200    2.17094000    0.10240000    0.31710000   10.00000000
    0.17920000    0.25651700    0.29440000    2.13361000    0.08730000    0.26700000   10.00000000
    0.22180000    0.31285100    0.28460700    2.12935000    0.10350000    0.32560000   10.00000000
    0.25520000    0.35954700    0.28162700    2.13480000    0.11640000    0.37400000   10.00000000
    0.22310000    0.32273200    0.30733100    2.16522000    0.11570000    0.33710000   10.00000000
    0.24720000    0.31746400    0.24899100    2.17670000    0.10840000    0.33210000   10.00000000
    0.24590000    0.32105800    0.25753400    2.17111000    0.10680000    0.33580000   10.00000000
    0.23620000    0.30156200    0.24815000    2.17686000    0.10750000    0.31570000   10.00000000
    0.25790000    0.32895000    0.24420300    2.17286000    0.11280000    0.34400000   10.00000000
    0.23640000    0.33470200    0.28582500    2.13419000    0.11600000    0.34830000   10.00000000
    0.21860000    0.31951600    0.30266300    2.13005000    0.10030000    0.33260000   10.00000000
    0.18070000    0.22388100    0.24532700    2.17729000    0.08760000    0.23520000   10.00000000
    0.24660000    0.31724200    0.24996900    2.17302000    0.11010000    0.33190000   10.00000000
    0.21680000    0.29946200    0.27625800    2.13029000    0.10390000    0.31190000   10.00000000
    0.21770000    0.27011600    0.23307500    2.17346000    0.09790000    0.28220000   10.00000000
    0.21950000    0.31392800    0.29307800    2.13594000    0.11300000    0.32690000   10.00000000
    0.20510000    0.27951200    0.27099800    2.13038000    0.09940000    0.29120000   10.00000000
    0.23340000    0.28602600    0.22950400    2.17360000    0.10910000    0.29970000   10.00000000
    0.22280000    0.33785100    0.31925200    2.13617000    0.09930000    0.35170000   10.00000000
    0.23040000    0.33009800    0.29238700    2.13056000    0.10150000    0.34380000   10.00000000
    0.21270000    0.25176600    0.21387500    2.17481000    0.10960000    0.26400000   10.00000000
    0.21150000    0.25276700    0.21880900    2.16927000    0.10650000    0.26510000   10.00000000
    0.22930000    0.32813600    0.29312800    2.13222000    0.10620000    0.34170000   10.00000000
    0.21030000    0.25387400    0.22466800    2.17509000    0.11080000    0.26620000   10.00000000
    0.21050000    0.25007400    0.21687800    2.16942000    0.10860000    0.26230000   10.00000000
    0.19420000    0.27684200    0.29015000    2.13649000    0.10500000    0.28750000   10.00000000
    0.21340000    0.29921300    0.28478900    2.13253000    0.10340000    0.31170000   10.00000000
    0.15550000    0.23003100    0.31430000    2.13811000    0.08190000    0.23930000   10.00000000
    0.20480000    0.25202500    0.23642200    2.17113000    0.10240000    0.26440000   10.00000000
    0.21030000    0.28653200    0.27211700    2.13247000    0.10800000    0.29850000   10.00000000
    0.20140000    0.28950400    0.29798400    2.13776000    0.09530000    0.30170000   10.00000000
    0.21630000    0.29823200    0.27675800    2.13226000    0.09960000    0.31080000   10.00000000
    0.16230000    0.24236900    0.32082500    2.13835000    0.08650000    0.25270000   10.00000000
    0.22010000    0.28007500    0.25023500    2.17126000    0.10590000    0.29360000   10.00000000
    0.18840000    0.27207300    0.30341700    2.12794000    0.09600000    0.28360000   10.00000000
    0.19470000    0.28676000    0.31193300    2.13304000    0.10200000    0.29880000   10.00000000
    0.20120000    0.27606200    0.27769500    2.12888000    0.09960000    0.28780000   10.00000000
    0.21580000    0.29996000    0.28109300    2.13270000    0.10990000    0.31260000   10.00000000
    0.19940000    0.28851100    0.30117800    2.13798000    0.09160000    0.30070000   10.00000000
    0.24740000    0.34075900    0.27364100    2.13389000    0.10970000    0.35480000   10.00000000
    0.17430000    0.25533900    0.31310300    2.13852000    0.09330000    0.26640000   10.00000000
    0.19000000    0.28673500    0.32535800    2.13291000    0.09240000    0.29930000   10.00000000
    0.23610000    0.31231100    0.26574700    2.17166000    0.10950000    0.32690000   10.00000000
    0.19280000    0.26994700    0.28829100    2.12801000    0.10040000    0.28150000   10.00000000
    0.18470000    0.27585400    0.31452100    2.13313000    0.09270000    0.28670000   10.00000000
    0.20680000    0.28754200    0.28287700    2.12897000    0.10190000    0.29970000   10.00000000
    0.21230000    0.30490900    0.29719400    2.13286000    0.10220000    0.31770000   10.00000000
    0.20560000    0.29508800    0.29664700    2.13813000    0.09210000    0.30770000   10.00000000
    0.26400000    0.35743700    0.26363700    2.13398000    0.11590000    0.37230000   10.00000000
    0.18550000    0.27771300    0.32108100    2.13874000    0.09590000    0.28970000   10.00000000
    0.21250000    0.31529100    0.31448000    2.13301000    0.10220000    0.32890000   10.00000000
    0.24540000    0.33139500    0.27278300    2.17170000    0.10670000    0.34670000   10.00000000
    0.18990000    0.26440100    0.28722200    2.12831000    0.10110000    0.27580000   10.00000000
    0.16070000    0.23507300    0.30533900    2.13319000    0.07880000    0.24390000   10.00000000
    0.22010000    0.29938500    0.27092400    2.12912000    0.10850000    0.31210000   10.00000000
    0.19780000    0.28784000    0.30534400    2.13439000    0.09650000    0.30000000   10.00000000
    0.19320000    0.28544900    0.31209700    2.13834000    0.08840000    0.29760000   10.00000000
    0.25280000    0.34651500    0.27037800    2.13428000    0.11140000    0.36110000   10.00000000
    0.20560000    0.30510800    0.31566600    2.13478000    0.10300000    0.31840000   10.00000000
    0.22050000    0.29728700    0.27595500    2.17338000    0.10090000    0.31140000   10.00000000
    0.20500000    0.29372700    0.29834000    2.12839000    0.10350000    0.30620000   10.00000000
    0.24410000    0.34694500    0.28843100    2.13485000    0.10480000    0.36140000   10.00000000
    0.21080000    0.29850700    0.29087000    2.13461000    0.09740000    0.31120000   10.00000000
    0.17310000    0.25238000    0.30984300    2.12888000    0.08330000    0.26330000   10.00000000
    0.28110000    0.37981300    0.26137600    2.13435000    0.11460000    0.39570000   10.00000000
    0.20650000    0.26280000    0.23407900    2.13899000    0.12760000    0.27350000   10.00000000
    0.20530000    0.31204900    0.32717600    2.13486000    0.10350000    0.32550000   10.00000000
    0.20200000    0.28942600    0.30960100    2.17255000    0.09590000    0.30310000   10.00000000
    0.21770000    0.29651100    0.28230900    2.16838000    0.09840000    0.31060000   10.00000000
    0.21740000    0.29978900    0.28681300    2.17393000    0.09330000    0.31390000   10.00000000
    0.23930000    0.32192600    0.27211300    2.16822000    0.10320000    0.33690000   10.00000000
    0.21410000    0.29648100    0.28347500    2.17363000    0.08650000    0.31020000   10.00000000
    0.16440000    0.23880500    0.31076500    2.12991000    0.08600000    0.24920000   10.00000000
    0.24180000    0.34462900    0.29068400    2.13491000    0.11090000    0.35900000   10.00000000
    0.21770000    0.27923100    0.24363400    2.12933000    0.10150000    0.29120000   10.00000000
    0.25000000    0.33445900    0.25962100    2.13488000    0.11040000    0.34840000   10.00000000
    0.21580000    0.29496000    0.27334200    2.12918000    0.09980000    0.30760000   10.00000000
    0.27620000    0.36974000    0.25703700    2.13442000    0.11520000    0.38530000   10.00000000
    0.19850000    0.28315300    0.28686700    2.14065000    0.09900000    0.29500000   10.00000000
    0.17330000    0.25018900    0.30757700    2.13504000    0.08380000    0.26140000   10.00000000
    0.20580000    0.28268900    0.28979000    2.17293000    0.09750000    0.29620000   10.00000000
    0.22870000    0.30127600    0.26460200    2.16868000    0.10560000    0.31560000   10.00000000
    0.23770000    0.33060800    0.28750900    2.17405000    0.09920000    0.34580000   10.00000000
    0.24320000    0.32006600    0.26151900    2.16860000    0.10300000    0.33500000   10.00000000
    0.24000000    0.32250500    0.27121500    2.17374000    0.10370000    0.33750000   10.00000000
    0.24590000    0.31775800    0.25315900    2.16818000    0.11480000    0.33290000   10.00000000
    0.17920000    0.26133600    0.31083400    2.13019000    0.09360000    0.27260000   10.00000000
    0.23550000    0.31509300    0.26223700    2.12948000    0.11270000    0.32840000   10.00000000
    0.25310000    0.34457700    0.26718900    2.13482000    0.11080000    0.35920000   10.00000000
    0.22230000    0.30903600    0.27957000    2.13047000    0.10070000    0.32230000   10.00000000
    0.22410000    0.30852900    0.28685200    2.17445000    0.10070000    0.32300000   10.00000000
    0.21990000    0.29458700    0.27461700    2.16880000    0.10140000    0.30870000   10.00000000
    0.18950000    0.27208100    0.31469200    2.17442000    0.09180000    0.28540000   10.00000000
    0.23290000    0.31294300    0.27362200    2.16860000    0.10210000    0.32770000   10.00000000
    0.22960000    0.30669200    0.27125700    2.17412000    0.10050000    0.32120000   10.00000000
    0.25010000    0.32959600    0.26201800    2.16998000    0.10970000    0.34500000   10.00000000
    0.17190000    0.24105400    0.29492900    2.13026000    0.09250000    0.25160000   10.00000000
    0.21520000    0.29875300    0.27651300    2.13524000    0.09970000    0.31060000   10.00000000
    0.21210000    0.28789100    0.27091600    2.13101000    0.10030000    0.30030000   10.00000000
    0.25190000    0.34142000    0.26578400    2.13502000    0.11490000    0.35580000   10.00000000
    0.23920000    0.33492000    0.29153500    2.17470000    0.11030000    0.35040000   10.00000000
    0.21020000    0.29655700    0.30187100    2.16904000    0.10430000    0.31070000   10.00000000
    0.21980000    0.31551100    0.30831500    2.17439000    0.10470000    0.33020000   10.00000000
    0.22350000    0.28326100    0.24825200    2.16888000    0.10210000    0.29710000   10.00000000
    0.21350000    0.27707000    0.26134200    2.17436000    0.09650000    0.29050000   10.00000000
    0.23380000    0.30818700    0.26530200    2.17010000    0.10710000    0.32290000   10.00000000
    0.20190000    0.28434600    0.28499200    2.13032000    0.09400000    0.29640000   10.00000000
    0.25870000    0.34402100    0.26481400    2.16940000    0.12160000    0.35980000   10.00000000
    0.21910000    0.28224200    0.25650200    2.17474000    0.10220000    0.29600000   10.00000000
    0.24790000    0.30719300    0.23318900    2.17053000    0.11600000    0.32180000   10.00000000
    0.21060000    0.26787500    0.24925600    2.17026000    0.10630000    0.28070000   10.00000000
    0.28900000    0.37907000    0.25400900    2.17641000    0.13530000    0.39590000   10.00000000
    0.20850000    0.25380200    0.22622700    2.17063000    0.09640000    0.26570000   10.00000000
    0.25940000    0.32531500    0.23284200    2.17600000    0.12150000    0.33970000   10.00000000
    0.19380000    0.24682200    0.26037200    2.18103000    0.09700000    0.25950000   10.00000000
    0.20860000    0.28554700    0.29046800    2.17682000    0.09190000    0.29990000   10.00000000
    0.19490000    0.26681600    0.29425300    2.17718000    0.09040000    0.28030000   10.00000000
    0.18980000    0.25997000    0.29622500    2.17729000    0.08820000    0.27330000   10.00000000
    0.17910000    0.25197900    0.30547800    2.17752000    0.07670000    0.26400000   10.00000000
    0.22700000    0.30952300    0.27604000    2.13891000    0.11640000    0.32310000   10.00000000
    0.19870000    0.26211000    0.27740200    2.17904000    0.09050000    0.27550000   10.00000000
    0.24870000    0.30866700    0.23668200    2.17346000    0.11390000    0.32360000   10.00000000
    0.21990000    0.29255000    0.26547000    2.13931000    0.11640000    0.30560000   10.00000000
    0.18600000    0.26182300    0.31087800    2.17938000    0.09180000    0.27520000   10.00000000
    0.24960000    0.31272400    0.24096200    2.17372000    0.11770000    0.32780000   10.00000000
    0.24610000    0.32426900    0.25759700    2.13937000    0.12380000    0.33850000   10.00000000
    0.24030000    0.32254900    0.26707000    2.13959000    0.10900000    0.33670000   10.00000000
    0.22520000    0.29921200    0.26443700    2.14124000    0.10710000    0.31250000   10.00000000
    0.17010000    0.22835800    0.26909700    2.13546000    0.08340000    0.23800000   10.00000000
    0.22610000    0.30242200    0.26711500    2.14129000    0.10700000    0.31600000   10.00000000
    0.15850000    0.21464200    0.27861800    2.13566000    0.07790000    0.22380000   10.00000000
    0.19450000    0.26717200    0.28079700    2.13304000    0.09310000    0.27870000   10.00000000
    0.22210000    0.29556800    0.26589200    2.13889000    0.10670000    0.30900000   10.00000000
    0.21650000    0.30389900    0.29145900    2.13452000    0.09510000    0.31780000   10.00000000
    0.21750000    0.29259000    0.26690600    2.14032000    0.09950000    0.30510000   10.00000000
    0.22840000    0.32215700    0.29212500    2.13456000    0.09920000    0.33680000   10.00000000
    0.21680000    0.28567400    0.25289700    2.14037000    0.10490000    0.29920000   10.00000000
    0.20360000    0.28392300    0.28783200    2.13490000    0.10110000    0.29750000   10.00000000
    0.15390000    0.21255100    0.27985300    2.15253000    0.07610000    0.22130000   10.00000000
    0.14160000    0.20191400    0.28281000    2.14685000    0.06800000    0.20850000   10.00000000
    0.19450000    0.27074300    0.28579600    2.14053000    0.09510000    0.28260000   10.00000000
    0.19300000    0.28834700    0.32305700    2.14706000    0.09090000    0.30160000   10.00000000
    0.22650000    0.32948500    0.31299000    2.16538000    0.10190000    0.34450000   10.00000000
    0.21760000    0.30070000    0.29089300    2.15985000    0.10130000    0.31510000   10.00000000
    0.21600000    0.30073500    0.28994700    2.14070000    0.10490000    0.31440000   10.00000000
    0.20500000    0.29087300    0.30020300    2.13502000    0.09410000    0.30430000   10.00000000
    0.18000000    0.26796200    0.32338300    2.15275000    0.08180000    0.28000000   10.00000000
    0.23230000    0.32142600    0.28526200    2.16018000    0.09960000    0.33610000   10.00000000
    0.19680000    0.28212200    0.30773300    2.16560000    0.09120000    0.29490000   10.00000000
    0.23870000    0.32743900    0.28169000    2.15991000    0.11080000    0.34230000   10.00000000
    0.22520000    0.31094100    0.28397800    2.13656000    0.10370000    0.32510000   10.00000000
    0.17790000    0.24870000    0.28229900    2.14185000    0.08410000    0.25950000   10.00000000
    0.17990000    0.25401900    0.30175000    2.13619000    0.08510000    0.26620000   10.00000000
    0.14730000    0.21086500    0.29022600    2.15284000    0.07010000    0.21890000   10.00000000
    0.19900000    0.29863500    0.32619900    2.14707000    0.09340000    0.31180000   10.00000000
    0.22940000    0.32790100    0.30183400    2.16588000    0.10910000    0.34390000   10.00000000
    0.22260000    0.31274400    0.29557000    2.16022000    0.09570000    0.32700000   10.00000000
    0.19060000    0.25452200    0.27488100    2.16581000    0.08650000    0.26650000   10.00000000
    0.18600000    0.28435100    0.33409300    2.16005000    0.08900000    0.29830000   10.00000000
